July 17, 2021 	28.58M
July 16, 2021 	30.31M
July 15, 2021 	26.36M
July 14, 2021 	35.71M
July 13, 2021 	28.93M
July 12, 2021 	27.89M
July 11, 2021 	27.45M
July 10, 2021 	34.56M
July 09, 2021 	28.04M
July 08, 2021 	29.95M
July 07, 2021 	27.87M
July 06, 2021 	31.92M
July 05, 2021 	29.78M
July 04, 2021 	26.85M
July 03, 2021 	29.29M
July 02, 2021 	20.79M
July 01, 2021 	22.48M
June 30, 2021 	21.60M
June 29, 2021 	21.86M
June 28, 2021 	20.58M
June 27, 2021 	13.06M
June 26, 2021 	18.46M
June 25, 2021 	24.36M
June 24, 2021 	23.77M
June 23, 2021 	23.62M
June 22, 2021 	19.80M
June 21, 2021 	23.13M
June 20, 2021 	23.74M
June 19, 2021 	23.86M
June 18, 2021 	29.86M
June 17, 2021 	32.59M
June 16, 2021 	31.78M
June 15, 2021 	34.47M
June 14, 2021 	36.42M
June 13, 2021 	31.38M
June 12, 2021 	31.19M
June 11, 2021 	25.75M
June 10, 2021 	28.99M
June 09, 2021 	29.08M
June 08, 2021 	31.68M
June 07, 2021 	32.07M
June 06, 2021 	34.55M
June 05, 2021 	31.00M
June 04, 2021 	32.43M
June 03, 2021 	37.24M
June 02, 2021 	41.03M
June 01, 2021 	34.24M
May 31, 2021 	33.91M
May 30, 2021 	33.24M
May 29, 2021 	27.24M
May 28, 2021 	29.89M
May 27, 2021 	30.87M
May 26, 2021 	32.98M
May 25, 2021 	32.58M
May 24, 2021 	32.67M
May 23, 2021 	28.94M
May 22, 2021 	31.08M
May 21, 2021 	31.98M
May 20, 2021 	33.14M
May 19, 2021 	36.56M
May 18, 2021 	30.63M
May 17, 2021 	36.88M
May 16, 2021 	41.71M
May 15, 2021 	41.39M
May 14, 2021 	45.65M
May 13, 2021 	53.65M
May 12, 2021 	64.59M
May 11, 2021 	64.61M
May 10, 2021 	71.07M
May 09, 2021 	71.47M
May 08, 2021 	67.68M
May 07, 2021 	71.66M
May 06, 2021 	66.66M
May 05, 2021 	61.16M
May 04, 2021 	68.03M
May 03, 2021 	71.25M
May 02, 2021 	70.64M
May 01, 2021 	57.00M
April 30, 2021 	59.39M
April 29, 2021 	48.85M
April 28, 2021 	56.03M
April 27, 2021 	57.18M
April 26, 2021 	47.39M
April 25, 2021 	49.45M
April 24, 2021 	53.88M
April 23, 2021 	55.57M
April 22, 2021 	64.29M
April 21, 2021 	49.23M
April 20, 2021 	62.00M
April 19, 2021 	47.18M
April 18, 2021 	57.72M
April 17, 2021 	45.03M
